SPA1 power,SPA1 bg fraction,RC bg intensity,SPA1 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.003976353643835253,0.004,-13000000.0,0.0,152.0,0.9999994197915345,1.44008675798432e-7
0.0002,0.003976353643835253,0.004,-12480000.0,0.0,152.0,0.9999982777095336,1.1909926983640252e-6
0.0002,0.003976353643835253,0.004,-11960000.0,0.0,152.0,0.9999962686299955,2.239238848045983e-6
0.0002,0.003976353643835253,0.004,-11440000.0,0.0,152.0,0.9999977217147258,1.0220721070649802e-6
0.0002,0.003976353643835253,0.004,-10920000.0,0.0,152.0,0.9999973364768565,7.048654808477148e-7
0.0002,0.003976353643835253,0.004,-10400000.0,0.0,152.0,0.9999975885875212,6.350693652319629e-7
0.0002,0.003976353643835253,0.004,-9879999.999999998,0.0,152.0,0.9999926897676886,4.83285936353898e-6
0.0002,0.003976353643835253,0.004,-9360000.0,0.0,152.0,0.9999951739952441,2.7030487681986725e-6
0.0002,0.003976353643835253,0.004,-8840000.0,0.0,152.0,0.9999956506561144,1.3282926262295667e-6
0.0002,0.003976353643835253,0.004,-8320000.0,0.0,152.0,0.9999960799966221,1.7816804826150323e-6
0.0002,0.003976353643835253,0.004,-7800000.0,0.0,152.0,0.9999843865534316,0.000011018312614499986
0.0002,0.003976353643835253,0.004,-7279999.999999999,0.0,152.0,0.9999728245193811,0.000017085512513037404
0.0002,0.003976353643835253,0.004,-6760000.0,0.0,152.0,0.9999786950164182,3.6227945759473866e-6
0.0002,0.003976353643835253,0.004,-6240000.0,0.0,152.0,0.9999442556836996,0.000020630252009375625
0.0002,0.003976353643835253,0.004,-5720000.0,0.0,152.0,0.9991116038068417,0.0004460974517634695
0.0002,0.003976353643835253,0.004,-5199999.999999999,0.0,152.0,0.507425089700965,0.06936587250495914
0.0002,0.003976353643835253,0.004,-4680000.0,0.0,152.0,0.8227102909516182,0.032114765492150255
0.0002,0.003976353643835253,0.004,-4160000.0,0.0,152.0,0.7843734154019278,0.0149258917616904
0.0002,0.003976353643835253,0.004,-3640000.0000000005,0.0,152.0,0.6065400932033062,0.16361721880897379
0.0002,0.003976353643835253,0.004,-3119999.999999999,0.0,152.0,0.12293337267626607,0.17041124553032935
0.0002,0.003976353643835253,0.004,-2599999.9999999995,0.0,152.0,0.03301258862577333,0.3106018843987021
0.0002,0.003976353643835253,0.004,-2080000.0,0.0,152.0,0.014495425883466648,0.2624460129747403
0.0002,0.003976353643835253,0.004,-1559999.9999999988,0.0,152.0,0.011925509995290493,0.2963604630382688
0.0002,0.003976353643835253,0.004,-1039999.9999999992,0.0,152.0,0.011541381205370722,0.21745032600240455
0.0002,0.003976353643835253,0.004,-519999.9999999996,0.0,152.0,0.008626626847468656,0.3145055827133623
0.0002,0.003976353643835253,0.004,0.0,0.0,152.0,0.01381265051349779,0.1808213519787781
0.0002,0.003976353643835253,0.004,519999.9999999996,0.0,152.0,0.010264571629375491,0.28850303090303425
0.0002,0.003976353643835253,0.004,1040000.0000000009,0.0,152.0,0.01339516679579,0.2954184097105405
0.0002,0.003976353643835253,0.004,1560000.0000000005,0.0,152.0,0.013462240880214017,0.29594181887011095
0.0002,0.003976353643835253,0.004,2080000.0,0.0,152.0,0.017488645394741546,0.28918932817052273
0.0002,0.003976353643835253,0.004,2600000.0000000014,0.0,152.0,0.015362026748027207,0.2888022673604925
0.0002,0.003976353643835253,0.004,3120000.000000001,0.0,152.0,0.002422535566331037,0.2965204939264211
0.0002,0.003976353643835253,0.004,3640000.0000000005,0.0,152.0,0.13304648584915804,0.2557426539097971
0.0002,0.003976353643835253,0.004,4160000.0,0.0,152.0,0.21200147071639172,0.2322376793494161
0.0002,0.003976353643835253,0.004,4680000.0,0.0,152.0,0.17206180782535563,0.24429700338948504
0.0002,0.003976353643835253,0.004,5199999.999999999,0.0,152.0,0.25796981188066354,0.2190084306441215
0.0002,0.003976353643835253,0.004,5719999.999999999,0.0,152.0,0.3853965086329599,0.18128903166883284
0.0002,0.003976353643835253,0.004,6240000.000000002,0.0,152.0,0.3695165160248691,0.18584805807151655
0.0002,0.003976353643835253,0.004,6760000.000000002,0.0,152.0,0.6748152584117456,0.09594073651445105
0.0002,0.003976353643835253,0.004,7280000.000000001,0.0,152.0,0.996785055637245,0.0009541331215309027
0.0002,0.003976353643835253,0.004,7800000.000000001,0.0,152.0,0.9999980891235014,9.438605140222363e-7
0.0002,0.003976353643835253,0.004,8320000.0,0.0,152.0,0.999999569633009,1.476922262497585e-7
0.0002,0.003976353643835253,0.004,8840000.0,0.0,152.0,0.9999988057420615,6.551057166998028e-7
0.0002,0.003976353643835253,0.004,9360000.0,0.0,152.0,0.9999994835666691,2.080806345387322e-7
0.0002,0.003976353643835253,0.004,9880000.000000002,0.0,152.0,0.9999989065575663,3.1868182545716215e-7
0.0002,0.003976353643835253,0.004,10400000.000000002,0.0,152.0,0.9999988004030167,6.891150248225871e-7
0.0002,0.003976353643835253,0.004,10920000.000000002,0.0,152.0,0.9999983237731075,7.748748957559779e-7
0.0002,0.003976353643835253,0.004,11440000.000000002,0.0,152.0,0.9999985105978212,2.6612399389358316e-7
0.0002,0.003976353643835253,0.004,11960000.0,0.0,152.0,0.9999991542921854,2.1703102708898047e-7
0.0002,0.003976353643835253,0.004,12480000.0,0.0,152.0,0.9999969527873439,6.913471304562856e-7
0.0002,0.003976353643835253,0.004,13000000.0,0.0,152.0,0.9999998447237448,5.1749913865476784e-8
0.0002,0.015811388300841896,0.004,-13000000.0,0.0,152.0,0.9999973025222108,5.232433866856646e-7
0.0002,0.015811388300841896,0.004,-12480000.0,0.0,152.0,0.9999963240315912,2.03332652958366e-6
0.0002,0.015811388300841896,0.004,-11960000.0,0.0,152.0,0.9999900606858863,6.703766169940596e-6
