frequency [MHz],detuning [MHz],pop initial,pop final,"|F1 = 5/2, F = 2, mF = 0>","|F1 = 3/2, F = 1, mF = 0>","|F1 = 5/2, F = 3, mF = -1>","|F1 = 5/2, F = 3, mF = 1>"
26666.808190958443,-2.0,0.9984767025974804,0.0004497935974577649,9.682382110943324e-11,0.0010562853753018995,4.0483350535782297e-19,1.0156025918196058e-15
26666.954024291776,-1.8541666666666667,0.9966838161487417,0.001083654911443769,3.6535774220163636e-10,0.0022148448046123356,5.778749673292715e-19,2.4011495747367714e-15
26667.09985762511,-1.7083333333333333,0.9927922593539189,0.0019520491007985724,8.268952024267173e-10,0.005238982246225529,4.3144020542466374e-19,4.226736766943804e-15
26667.245690958443,-1.5625,0.9811813815725515,0.005501149960214513,1.5665416593568956e-09,0.013296579363751794,4.8139108222113e-19,1.1958535992187949e-14
26667.391524291776,-1.4166666666666665,0.9616744106353866,0.01240903915262712,2.314107600009412e-09,0.0259039510739684,3.068854697292369e-19,2.6892336598885407e-14
26667.53735762511,-1.2708333333333333,0.9097695862866877,0.027362161186683075,3.815385189221355e-09,0.06284049032404405,6.60009274787247e-19,5.977261147587129e-14
26667.683190958443,-1.125,0.8103966491921462,0.06248255585111034,1.3549111884210636e-08,0.12708366709830043,4.0220446930283275e-19,1.3611116158148578e-13
26667.829024291776,-0.9791666666666665,0.6459658796482644,0.14690758954822883,4.829882601143934e-08,0.20711517000691287,4.620238390141964e-19,3.203382930081831e-13
26667.97485762511,-0.8333333333333333,0.24774055934902933,0.28444290840030734,1.1462899230432443e-07,0.46777468758203783,6.158865484177558e-19,6.203378282717173e-13
26668.120690958443,-0.6875,0.0762578247779235,0.5359183965454044,1.5479443978838283e-07,0.38779271166435814,2.8570021595697286e-19,1.1679617851145468e-12
26668.266524291776,-0.5416666666666665,0.013193393649202013,0.7410091854871997,1.0811172465735364e-07,0.2457339348160364,5.539729433273062e-19,1.6146096695107207e-12
26668.41235762511,-0.39583333333333326,0.00024870323508895684,0.9865012482216696,1.1068346202388426e-07,0.013239196319559988,6.224346054541284e-19,2.1493762928423175e-12
26668.558190958443,-0.25,0.00015948293254555528,0.998985436709615,3.085538913203119e-07,0.0008402095596665088,8.337993740266759e-19,2.176574758805906e-12
26668.704024291776,-0.1041666666666665,1.662600880870974e-05,0.9998747826096489,4.135179266508429e-07,9.133127113732697e-05,3.3253676695469607e-19,2.179202370852955e-12
26668.84985762511,0.04166666666666696,0.0001812066445479039,0.9997879056313052,1.3442822930896543e-07,1.4187253178502983e-05,8.01284192398384e-19,2.1792362095184834e-12
26668.995690958443,0.1875,0.0008451295080670931,0.9991016106663676,6.85811899586615e-08,3.535943468709742e-05,2.7671710397447856e-20,2.176576368242103e-12
26669.141524291776,0.3333333333333335,0.5520272131689852,0.4478897248933902,1.4600413387361162e-07,6.459207869547416e-05,7.86707278191819e-19,9.766096641699927e-13
26669.28735762511,0.47916666666666696,0.6233485979473424,0.37660569766854674,1.3518733906448117e-07,4.2192853224344955e-05,5.028665693072784e-20,8.207605942774234e-13
26669.433190958443,0.625,0.9750281742279384,0.02494410066768679,3.5468603006576623e-09,1.6331547209026128e-05,3.6662204950026028e-19,5.437652213479903e-14
26669.579024291776,0.7708333333333335,0.998925060863674,0.0010627343435323973,2.932857360882801e-10,8.60342619091431e-06,1.2669451010160922e-20,2.310148863568117e-15
26669.72485762511,0.916666666666667,0.9996538320531755,0.00033270786937735045,8.113275506602652e-11,7.668473696941185e-06,1.7370437440259497e-20,7.109775547542423e-16
26669.870690958443,1.0625,0.9996835802242223,0.00029582252526180486,2.1588168001057255e-11,1.752607355742877e-05,7.026567693170639e-20,6.332342665379274e-16
26670.016524291776,1.2083333333333335,0.9998636496726598,0.00010911174725263278,1.609509146180446e-11,1.5092015585184504e-05,1.1021357825793649e-19,2.3839969461175535e-16
26670.16235762511,1.354166666666667,0.9998548446438336,0.00011031811609183951,2.4470122743533692e-11,2.3243000811933238e-05,2.7197148350188696e-20,2.439662767852797e-16
26670.308190958443,1.5,0.9999170913421602,6.0922472315681016e-05,4.645758980981864e-12,7.650913390598866e-06,1.8661641624081868e-20,1.3063937156523316e-16
