SPA1 power,SPA1 bg fraction,SPA2 power,SPA2 bg fraction,SPA1 detuning,SPA2 detuning,v_forward,prob ini,prob inter,prob fin
0.0002,0.01,0.0001,0.01,0.0,-2000000.0,184.0,0.02721824710828887,0.8978866258320821,0.0006190331148595153
0.0002,0.01,0.0001,0.01,0.0,-1800000.0,184.0,0.019242965271600243,0.8976595154084318,0.008702706445886837
0.0002,0.01,0.0001,0.01,0.0,-1600000.0,184.0,0.026140548138751517,0.8978810706386734,0.0011160854793721804
0.0002,0.01,0.0001,0.01,0.0,-1400000.0,184.0,0.02165088231426624,0.8975138080729589,0.007301463172460932
0.0002,0.01,0.0001,0.01,0.0,-1200000.0,184.0,0.021847970029564612,0.7876543757311761,0.006688585027317826
0.0002,0.01,0.0001,0.01,0.0,-1000000.0,184.0,0.021325538274654728,0.5976468823988773,0.007275229319594768
0.0002,0.01,0.0001,0.01,0.0,-799999.9999999998,184.0,0.028421485825294187,0.14323482580030708,0.47450241310727886
0.0002,0.01,0.0001,0.01,0.0,-599999.9999999999,184.0,0.02857658463093096,0.0012820486855120332,0.8906069679128453
0.0002,0.01,0.0001,0.01,0.0,-399999.9999999999,184.0,0.028615122540575483,0.00019702723875995604,0.8919392939102375
0.0002,0.01,0.0001,0.01,0.0,-199999.99999999994,184.0,0.02861177810964065,0.00004167234818892677,0.8954067466460305
0.0002,0.01,0.0001,0.01,0.0,0.0,184.0,0.02860123904545356,0.0013804642062181197,0.8956746408437201
0.0002,0.01,0.0001,0.01,0.0,200000.00000000017,184.0,0.028596509690106395,0.0001480830687034125,0.8970245557969205
0.0002,0.01,0.0001,0.01,0.0,400000.00000000035,184.0,0.028660577410274512,0.671644233373372,0.2108639693476869
0.0002,0.01,0.0001,0.01,0.0,600000.0000000001,184.0,0.028576022664720445,0.11434017199610114,0.44345977781508567
0.0002,0.01,0.0001,0.01,0.0,800000.0000000002,184.0,0.028327623907126526,0.8969519035411803,0.0009680893603811278
0.0002,0.01,0.0001,0.01,0.0,1000000.0,184.0,0.028752574676717265,0.8973603909756379,0.0006116218257143543
0.0002,0.01,0.0001,0.01,0.0,1200000.0000000002,184.0,0.028984747148865207,0.8970740257598676,0.000018659967349229008
0.0002,0.01,0.0001,0.01,0.0,1400000.0000000005,184.0,0.029050617615267123,0.8970587126326388,0.00015222969666742078
0.0002,0.01,0.0001,0.01,0.0,1600000.0,184.0,0.029054174849754467,0.8972202281197289,0.00004995645954748755
0.0002,0.01,0.0001,0.01,0.0,1800000.0000000002,184.0,0.029036686802695718,0.8973167461747089,0.0005193634888708682
0.0002,0.01,0.0001,0.01,0.0,2000000.0,184.0,0.028976796615397753,0.8976654057851873,0.00014392459942590583
