SPA1 power,SPA1 bg fraction,SPA2 power,SPA2 bg fraction,SPA1 detuning,SPA2 detuning,v_forward,prob ini,prob inter,prob fin
0.0002,0.01,0.00002,0.01,0.0,-2000000.0,184.0,0.0281111159943495,0.8979356592446212,0.000053652326149811
0.0002,0.01,0.00002,0.01,0.0,-1800000.0,184.0,0.026348770873883834,0.8979229428465784,0.0017589105073528802
0.0002,0.01,0.00002,0.01,0.0,-1600000.0,184.0,0.027461383290362528,0.8979045677624137,0.0005341550855554862
0.0002,0.01,0.00002,0.01,0.0,-1400000.0,184.0,0.02691117378210782,0.8979617470928092,0.001369349947563033
0.0002,0.01,0.00002,0.01,0.0,-1200000.0,184.0,0.02710655121712663,0.8745903261024816,0.0012255917340180539
0.0002,0.01,0.00002,0.01,0.0,-1000000.0,184.0,0.02688894536039317,0.8275854073282871,0.001509537144779991
0.0002,0.01,0.00002,0.01,0.0,-799999.9999999998,184.0,0.028495146478027387,0.5606363148391678,0.19940262798391267
0.0002,0.01,0.00002,0.01,0.0,-599999.9999999999,184.0,0.02867813103214856,0.24674063844215552,0.4998830903547746
0.0002,0.01,0.00002,0.01,0.0,-399999.9999999999,184.0,0.028738236101537487,0.047433321653004464,0.7642711083771704
0.0002,0.01,0.00002,0.01,0.0,-199999.99999999994,184.0,0.028743856432993715,0.0032174334016485074,0.8849775652426205
0.0002,0.01,0.00002,0.01,0.0,0.0,184.0,0.028731940131301134,0.0022305132465555567,0.8946538667673556
0.0002,0.01,0.00002,0.01,0.0,200000.00000000017,184.0,0.028772957860052514,0.001641053485522334,0.8955432028791036
0.0002,0.01,0.00002,0.01,0.0,400000.00000000035,184.0,0.02907999685688422,0.8633632143143479,0.030355610364885075
0.0002,0.01,0.00002,0.01,0.0,600000.0000000001,184.0,0.02866503730586145,0.06389235529046271,0.7271829701037335
0.0002,0.01,0.00002,0.01,0.0,800000.0000000002,184.0,0.02862599325972238,0.8968043470726846,0.0007469459752857849
0.0002,0.01,0.00002,0.01,0.0,1000000.0,184.0,0.028542963559912923,0.8970489779000883,0.0005956083297822605
0.0002,0.01,0.00002,0.01,0.0,1200000.0000000002,184.0,0.02848783867958091,0.8975065076277003,0.00021196860630152053
0.0002,0.01,0.00002,0.01,0.0,1400000.0000000005,184.0,0.028449644679362906,0.897596991136961,0.00008566469110358873
0.0002,0.01,0.00002,0.01,0.0,1600000.0,184.0,0.028428615032347164,0.8976304993452898,0.00010339784382605546
0.0002,0.01,0.00002,0.01,0.0,1800000.0000000002,184.0,0.028414400119343892,0.8976961893508579,0.0002653403205352247
0.0002,0.01,0.00002,0.01,0.0,2000000.0,184.0,0.02840905012425652,0.8977392136488391,0.00014009295598162248
