SPA1 power,SPA1 bg fraction,RC bg intensity,SPA1 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.01,1e-6,0.0,0.0,184.0,0.02839619145064069,0.8903544515523294
0.0002,0.01,1e-6,0.0,433333.33333333355,184.0,0.028394786726644618,0.8972179582524626
0.0002,0.01,1e-6,0.0,866666.6666666671,184.0,0.0283948588428437,0.897266190096563
0.0002,0.01,1e-6,0.0,1300000.0000000007,184.0,0.028394830043661952,0.8974367922479046
0.0002,0.01,1e-6,0.0,1733333.3333333342,184.0,0.02839485047399832,0.8974935263430115
0.0002,0.01,1e-6,0.0,2166666.666666668,184.0,0.02839484222631697,0.8974403011896683
0.0002,0.01,1e-6,0.0,2600000.0000000014,184.0,0.028394791692121207,0.8975465757312509
0.0002,0.01,1e-6,0.0,3033333.333333335,184.0,0.02839490402177413,0.8975332116551029
0.0002,0.01,1e-6,0.0,3466666.6666666684,184.0,0.028395342359714817,0.8974651445319426
0.0002,0.01,1e-6,0.0,3900000.0000000023,184.0,0.028394772949666167,0.897610322758746
0.0002,0.01,1e-6,0.0,4333333.333333336,184.0,0.028394762003313517,0.8976105757929576
0.0002,0.01,1e-6,0.0,4766666.666666666,184.0,0.028394763202621954,0.8976106326677419
0.0002,0.01,1e-6,0.0,5199999.999999999,184.0,0.028394759980727418,0.8976106490371302
0.0002,0.01,1e-6,0.0,5633333.333333333,184.0,0.0283947570515391,0.8976106340366443
0.0002,0.01,1e-6,0.0,6066666.666666666,184.0,0.02839475461904578,0.8976106237148866
0.0002,0.01,1e-6,0.0,6500000.0,184.0,0.02839475254183039,0.8976105481295714
0.0002,0.01,1e-6,0.0,6933333.333333334,184.0,0.02839475066121866,0.8976106823058508
0.0002,0.01,1e-6,0.0,7366666.666666667,184.0,0.028394749156387174,0.8976106843668268
0.0002,0.01,1e-6,0.0,7800000.000000001,184.0,0.028394747791773936,0.8976106860221075
0.0002,0.01,1e-6,0.0,8233333.333333334,184.0,0.028394746529951127,0.8976106867116617
0.0002,0.01,1e-6,0.0,8666666.666666668,184.0,0.028394745556917046,0.897610687987858
0.0002,0.01,1e-6,0.0,9100000.000000002,184.0,0.028394744628401084,0.8976106883795987
0.0002,0.01,1e-6,0.0,9533333.333333336,184.0,0.02839474381970033,0.8976106887103151
