SPA1 power,SPA1 bg fraction,SPA2 power,SPA2 bg fraction,SPA1 detuning,SPA2 detuning,v_forward,prob ini,prob inter,prob fin
0.0002,0.01,1e-6,0.0109,0.0,-1400000.0,184.0,0.028272014642985257,0.8976754692804365,0.00010768793475696098
0.0002,0.01,1e-6,0.0109,0.0,-1200000.0,184.0,0.028322922193093875,0.8964901458494997,0.000054945559799374326
0.0002,0.01,1e-6,0.0109,0.0,-1000000.0,184.0,0.028342079060489474,0.8940220228970057,0.00004398636894402496
0.0002,0.01,1e-6,0.0109,0.0,-799999.9999999998,184.0,0.02838559264986658,0.8722248521120951,0.014454555833510116
0.0002,0.01,1e-6,0.0109,0.0,-599999.9999999999,184.0,0.02839341190156441,0.8405818982254808,0.03783359921388681
0.0002,0.01,1e-6,0.0109,0.0,-399999.9999999999,184.0,0.028412121114200536,0.7658016361025476,0.09133128938704707
0.0002,0.01,1e-6,0.0109,0.0,-199999.99999999994,184.0,0.02842769999762778,0.7093462427020986,0.13625322570026605
0.0002,0.01,1e-6,0.0109,0.0,0.0,184.0,0.028454565287874222,0.6223613653539953,0.2651786470318431
0.0002,0.01,1e-6,0.0109,0.0,200000.00000000017,184.0,0.0284584876976018,0.6448534804645976,0.25048164095981884
0.0002,0.01,1e-6,0.0109,0.0,400000.00000000035,184.0,0.028395946144920286,0.8949926155330944,0.002404619071196917
0.0002,0.01,1e-6,0.0109,0.0,600000.0000000001,184.0,0.028408828429198243,0.7874315086911142,0.097548106209004
0.0002,0.01,1e-6,0.0109,0.0,800000.0000000002,184.0,0.02839055102058373,0.8972673631169149,0.0004115038691142608
0.0002,0.01,1e-6,0.0109,0.0,1000000.0,184.0,0.02838509490170287,0.8972605929477324,0.0002741898025517442
0.0002,0.01,1e-6,0.0109,0.0,1200000.0000000002,184.0,0.028384081131619457,0.897397603221544,0.00024731775689794
0.0002,0.01,1e-6,0.0109,0.0,1400000.0000000005,184.0,0.028383275787747745,0.8973309844470851,0.00020459405255227774
0.0002,0.01,1e-6,0.0109,0.0,1600000.0,184.0,0.02838482384656115,0.8973986062371606,0.00022613577895811682
0.0002,0.01,1e-6,0.0109,0.0,1800000.0000000002,184.0,0.02838508491033747,0.8974695038997133,0.0002121603253226853
0.0002,0.01,1e-6,0.0109,0.0,2000000.0,184.0,0.028385458713659044,0.8974325359063504,0.00022263983347765309
0.0002,0.01,1e-6,0.020800000000000003,0.0,-2000000.0,184.0,0.028344373175811396,0.8977041170032647,0.000013696944770284264
0.0002,0.01,1e-6,0.020800000000000003,0.0,-1800000.0,184.0,0.028220639837628254,0.8977020484251088,0.00013743581959109179
0.0002,0.01,1e-6,0.020800000000000003,0.0,-1600000.0,184.0,0.02825724557873074,0.8976992884160466,0.00009224681863777803
0.0002,0.01,1e-6,0.020800000000000003,0.0,-1400000.0,184.0,0.02820603889981557,0.8977094768134617,0.00016456552094163847
0.0002,0.01,1e-6,0.020800000000000003,0.0,-1200000.0,184.0,0.028294560211401868,0.8962362141634913,0.00007377298813724832
0.0002,0.01,1e-6,0.020800000000000003,0.0,-1000000.0,184.0,0.028307610010899178,0.8933594406764821,0.00007426209848119796
0.0002,0.01,1e-6,0.020800000000000003,0.0,-799999.9999999998,184.0,0.028380087099880373,0.867940659953912,0.017497045296372103
0.0002,0.01,1e-6,0.020800000000000003,0.0,-599999.9999999999,184.0,0.02838933363393527,0.8333626092629659,0.043376171344929285
0.0002,0.01,1e-6,0.020800000000000003,0.0,-399999.9999999999,184.0,0.02840945703930119,0.7544561880596671,0.1002013488360694
0.0002,0.01,1e-6,0.020800000000000003,0.0,-199999.99999999994,184.0,0.02842576724288946,0.6959003462820204,0.14653701182954473
0.0002,0.01,1e-6,0.020800000000000003,0.0,0.0,184.0,0.02845331265341953,0.6073676268950594,0.28032234465400224
0.0002,0.01,1e-6,0.020800000000000003,0.0,200000.00000000017,184.0,0.02845908086306659,0.6234862443226564,0.27011378509099926
0.0002,0.01,1e-6,0.020800000000000003,0.0,400000.00000000035,184.0,0.028392663347681993,0.8928254512187793,0.004395570329724275
