SPA1 power,SPA1 bg fraction,SPA2 power,SPA2 bg fraction,SPA1 detuning,SPA2 detuning,v_forward,prob ini,prob inter,prob fin
0.0002,0.01,0.00005,0.01,0.0,-2000000.0,184.0,0.027772506314399245,0.8980237371873842,0.00019980265672082397
0.0002,0.01,0.00005,0.01,0.0,-1800000.0,184.0,0.02339882443185676,0.8978715951690204,0.0045847638973267974
0.0002,0.01,0.00005,0.01,0.0,-1600000.0,184.0,0.02665177564863327,0.8980450647535391,0.0008818966863043059
0.0002,0.01,0.00005,0.01,0.0,-1400000.0,184.0,0.02491694536923527,0.8977841304566918,0.003643049710078866
0.0002,0.01,0.00005,0.01,0.0,-1200000.0,184.0,0.025348068871360832,0.8403866701674503,0.0034560103138858438
0.0002,0.01,0.00005,0.01,0.0,-1000000.0,184.0,0.02481807663525454,0.7321173288470575,0.004145664317350091
0.0002,0.01,0.00005,0.01,0.0,-799999.9999999998,184.0,0.02884456618620896,0.3135766925170328,0.35811774444490546
0.0002,0.01,0.00005,0.01,0.0,-599999.9999999999,184.0,0.02875492770461004,0.031211153249462747,0.8005869745292178
0.0002,0.01,0.00005,0.01,0.0,-399999.9999999999,184.0,0.0287024529371383,0.0016360471631585729,0.8787170369110326
0.0002,0.01,0.00005,0.01,0.0,-199999.99999999994,184.0,0.028704424302254113,0.00011701433414147842,0.8961026336957508
0.0002,0.01,0.00005,0.01,0.0,0.0,184.0,0.028693392770196193,0.00046124188891466565,0.896885436103656
0.0002,0.01,0.00005,0.01,0.0,200000.00000000017,184.0,0.02870041559964897,0.0007255032889579488,0.8967202593700018
0.0002,0.01,0.00005,0.01,0.0,400000.00000000035,184.0,0.028344813232731955,0.8079980584428543,0.0820216637976025
0.0002,0.01,0.00005,0.01,0.0,600000.0000000001,184.0,0.028544927542398093,0.14493827166828888,0.5335294132907866
0.0002,0.01,0.00005,0.01,0.0,800000.0000000002,184.0,0.029090781248208603,0.8966844487794569,0.00008885688371933301
0.0002,0.01,0.00005,0.01,0.0,1000000.0,184.0,0.02899542481240782,0.8970689280349456,0.00030346629477209883
0.0002,0.01,0.00005,0.01,0.0,1200000.0000000002,184.0,0.02887833061681033,0.8973739168188674,0.00007474709945293747
0.0002,0.01,0.00005,0.01,0.0,1400000.0000000005,184.0,0.028796762942942533,0.8973184810159887,0.00001897581644422842
0.0002,0.01,0.00005,0.01,0.0,1600000.0,184.0,0.028717017455160577,0.8974393181198063,4.6719470191433685e-6
0.0002,0.01,0.00005,0.01,0.0,1800000.0000000002,184.0,0.028644872703016837,0.8977776266343664,0.00026187237993748926
0.0002,0.01,0.00005,0.01,0.0,2000000.0,184.0,0.028599189147368035,0.8976880390676019,0.00019545241188076854
