SPA1 power,SPA1 bg fraction,RC bg intensity,SPA1 detuning,RC detuning,v_forward,prob ini,prob fin
1e-6,0.0,0.0,0.0,0.0,184.0,0.9499604492603946,0.05003288072523358
1.1481536214968817e-6,0.0,0.0,0.0,0.0,184.0,0.9427863048124628,0.05720606088990439
1.3182567385564074e-6,0.0,0.0,0.0,0.0,184.0,0.9346176347118681,0.06537363060605725
1.5135612484362072e-6,0.0,0.0,0.0,0.0,184.0,0.9253276115167948,0.07466239919390003
1.7378008287493763e-6,0.0,0.0,0.0,0.0,184.0,0.914776727908414,0.08521185378681383
1.9952623149688787e-6,0.0,0.0,0.0,0.0,184.0,0.9028126725629363,0.09717428333013059
2.2908676527677747e-6,0.0,0.0,0.0,0.0,184.0,0.8892706547379705,0.11071445391912087
2.6302679918953817e-6,0.0,0.0,0.0,0.0,184.0,0.8739743500198963,0.12600866299348623
3.0199517204020193e-6,0.0,0.0,0.0,0.0,184.0,0.8567376821113512,0.14324295760783343
3.467368504525317e-6,0.0,0.0,0.0,0.0,184.0,0.8373676944997498,0.16261026289368322
3.981071705534969e-6,0.0,0.0,0.0,0.0,184.0,0.8156688122560909,0.1843061205486115
4.570881896148752e-6,0.0,0.0,0.0,0.0,184.0,0.7914488228022118,0.2085227085289141
5.248074602497723e-6,0.0,0.0,0.0,0.0,184.0,0.7645269342816216,0.2354407833790971
6.025595860743581e-6,0.0,0.0,0.0,0.0,184.0,0.7347442427031491,0.26521921404404497
6.9183097091893625e-6,0.0,0.0,0.0,0.0,184.0,0.7019768888907293,0.2979818262315356
7.943282347242822e-6,0.0,0.0,0.0,0.0,184.0,0.6661520402678117,0.33380142221946557
9.120108393559096e-6,0.0,0.0,0.0,0.0,184.0,0.6272665929895296,0.3726810806758283
0.000010471285480508985,0.0,0.0,0.0,0.0,184.0,0.5854080990838542,0.4145332316167774
0.000012022644346174132,0.0,0.0,0.0,0.0,184.0,0.5407768724419519,0.45915755242341244
0.000013803842646028839,0.0,0.0,0.0,0.0,184.0,0.4937075091531337,0.5062194489185261
0.00001584893192461114,0.0,0.0,0.0,0.0,184.0,0.4446871522377219,0.5552317903660016
0.000018197008586099827,0.0,0.0,0.0,0.0,184.0,0.3943669074593954,0.6055434902622384
0.00002089296130854041,0.0,0.0,0.0,0.0,184.0,0.34356195316770294,0.656339387407138
0.0000239883291901949,0.0,0.0,0.0,0.0,184.0,0.29323547101081765,0.7066562969697351
0.000027542287033381633,0.0,0.0,0.0,0.0,184.0,0.2444618963835176,0.7554197283474793
0.000031622776601683795,0.0,0.0,0.0,0.0,184.0,0.1983666349272901,0.8015041192586769
0.000036307805477010174,0.0,0.0,0.0,0.0,184.0,0.15604275180377017,0.8438160785865564
0.00004168693834703355,0.0,0.0,0.0,0.0,184.0,0.1184502304078225,0.881395050450993
0.000047863009232263804,0.0,0.0,0.0,0.0,184.0,0.08630975688393172,0.9135194749904045
0.00005495408738576248,0.0,0.0,0.0,0.0,184.0,0.06000914565792393,0.9398004017479138
0.00006309573444801929,0.0,0.0,0.0,0.0,184.0,0.03954411198973143,0.9602409706003727
0.00007244359600749891,0.0,0.0,0.0,0.0,184.0,0.024513349565481013,0.9752419402508767
0.00008317637711026709,0.0,0.0,0.0,0.0,184.0,0.01417873586245378,0.9855424480338172
0.00009549925860214369,0.0,0.0,0.0,0.0,184.0,0.0075853128772945064,0.9921008843295366
0.00010964781961431851,0.0,0.0,0.0,0.0,184.0,0.0037165625096943224,0.9959389886836053
0.00012589254117941674,0.0,0.0,0.0,0.0,184.0,0.0016458224428109649,0.9979863071947156
0.0001445439770745928,0.0,0.0,0.0,0.0,184.0,0.0006427853236488352,0.9989661234583569
0.00016595869074375596,0.0,0.0,0.0,0.0,184.0,0.0002095750499537953,0.9993562849887357
0.00019054607179632462,0.0,0.0,0.0,0.0,184.0,0.00005032718294239559,0.9994371160144712
0.00021877616239495518,0.0,0.0,0.0,0.0,184.0,6.999224558179667e-6,0.9993906166438111
0.00025118864315095795,0.0,0.0,0.0,0.0,184.0,1.4985070824746866e-6,0.9993442889381777
0.00028840315031266055,0.0,0.0,0.0,0.0,184.0,1.7487430359081926e-6,0.9992957883566723
0.0003311311214825911,0.0,0.0,0.0,0.0,184.0,1.0910460611977698e-6,0.9991563531702891
0.00038018939632056124,0.0,0.0,0.0,0.0,184.0,6.908837867749927e-7,0.9990374150994186
0.0004365158322401656,0.0,0.0,0.0,0.0,184.0,7.670971042233519e-7,0.9989656360563031
0.000501187233627272,0.0,0.0,0.0,0.0,184.0,8.689955171821648e-7,0.9987407304423572
0.0005754399373371566,0.0,0.0,0.0,0.0,184.0,1.0340097722822577e-6,0.9986545358594209
0.0006606934480075957,0.0,0.0,0.0,0.0,184.0,8.436361374506092e-7,0.9983696442020248
0.0007585775750291836,0.0,0.0,0.0,0.0,184.0,9.77379542628499e-7,0.9982294904447392
0.0008709635899560805,0.0,0.0,0.0,0.0,184.0,9.688350034080638e-7,0.9979479234836525
0.001,0.0,0.0,0.0,0.0,184.0,1.0204567476441962e-6,0.9975800237368126
