frequency [MHz],detuning [MHz],pop initial,pop final,"|F1 = 5/2, F = 2, mF = 0>","|F1 = 3/2, F = 1, mF = 0>","|F1 = 5/2, F = 3, mF = -1>","|F1 = 5/2, F = 3, mF = 1>"
26666.808190958443,-2.0,0.9991866771948774,0.00016978039305188817,6.178602780401978e-11,0.0006339689001307504,2.578134582111924e-19,3.617130608680481e-14
26666.933190958443,-1.875,0.9983925978245455,0.00021445573626748565,2.78150988183149e-10,0.001383442936843522,8.78293267386473e-20,4.5554939167833666e-14
26667.058190958443,-1.75,0.9968462049296093,0.001405898939318915,4.575515152312258e-10,0.001736885698320958,4.153332779622907e-20,2.9889468592142767e-13
26667.183190958443,-1.625,0.9923525365338071,0.0024498428804192356,1.0189917296446338e-09,0.005186644947674969,5.1072875269881115e-19,5.206868254301243e-13
26667.308190958443,-1.5,0.9884643339686399,0.006489762391039668,6.360521632620092e-10,0.00503603078736435,4.814951533852038e-19,1.3788315293594922e-12
26667.433190958443,-1.375,0.8936948385057212,0.011961219845889347,7.309436868133638e-10,0.09433609139444644,8.010002607258794e-20,2.540361341267586e-12
26667.558190958443,-1.25,0.8082526160335011,0.025893783831386512,3.330351685554248e-09,0.165834213546063,2.6362795492869997e-19,5.500434881979386e-12
26667.683190958443,-1.125,0.733638129502356,0.04970207919945524,5.916520587139549e-09,0.2166384018089778,3.7249772808960924e-19,1.055273809857544e-11
26667.808190958443,-1.0,0.6037405829572533,0.0922958423642566,5.369838971158352e-08,0.303951730474857,5.014023304866342e-19,1.9610757205413304e-11
26667.933190958443,-0.875,0.20189323512517873,0.6215815380789459,1.957128655612131e-07,0.17652268313901284,1.5234824949038896e-19,1.3203773320925236e-10
26668.058190958443,-0.75,0.10743860451798506,0.7085191397074674,2.2631430286772406e-07,0.1840129555162319,2.0878024245776794e-19,1.5053361515840542e-10
26668.183190958443,-0.625,0.032005363143383495,0.8348111078708111,1.7050945225900053e-07,0.1331563286154692,1.1080603061946598e-19,1.7734222519063976e-10
26668.308190958443,-0.5,0.007335782561946331,0.926418122835937,9.358426793245833e-08,0.06622085428491259,4.023718744755412e-19,1.967760957880582e-10
26668.433190958443,-0.375,0.0004128823512065722,0.9841129065173938,1.3127411153078525e-07,0.015458254104255921,5.221710515793016e-19,2.0903254481969928e-10
26668.558190958443,-0.25,0.0001830304941843879,0.9982331047518727,3.085055343900558e-07,0.001575521638441045,5.389491711510502e-19,2.1204278867534223e-10
26668.683190958443,-0.125,7.300923307220573e-06,0.9997089438286924,4.019561656371867e-07,0.00027268543865846735,5.013775441014352e-19,2.1237285029325178e-10
26668.808190958443,0.0,7.892915584236245e-06,0.9999333225047744,2.0387571057654412e-07,4.862382891388368e-05,1.693387600517824e-19,2.1242123557267233e-10
26668.933190958443,0.125,0.001341013849812663,0.99860300593061,5.601412962405689e-08,4.662532746083277e-05,3.033974161196426e-19,2.121309522171958e-10
26669.058190958443,0.25,0.06250778455420682,0.9373380337430355,5.74979889304098e-07,0.00014153162295526715,1.4177117938561888e-18,1.9913064746942224e-10
26669.183190958443,0.375,0.5660277082108905,0.4339498944974536,1.7387605683265068e-07,1.2734164437138982e-05,4.921154725891867e-20,9.219233933916061e-11
26669.308190958443,0.5,0.5196021944764901,0.48037118516884103,1.8234305087602196e-07,1.6629382031453865e-05,2.3763331840205857e-20,1.0204800804019675e-10
26669.433190958443,0.625,0.9662734124672071,0.03370350044127691,5.637644179559905e-09,1.907876961821901e-05,1.2478961302434298e-19,7.160597163371025e-12
26669.558190958443,0.75,0.9975296532202733,0.0024472485108014167,6.839627396464834e-10,2.0691754016430354e-05,3.8713768731730343e-19,5.192566306265162e-13
26669.683190958443,0.875,0.9993933098519312,0.0006021902595537926,1.4710826294351686e-10,3.0757903500755733e-06,3.1893466531546407e-19,1.2799635043320482e-13
26669.808190958443,1.0,0.9996111836088137,0.00037662777272376885,4.8493027742762916e-11,6.4124553359807814e-06,8.679288925055627e-21,8.006496963091539e-14
