SPA1 power,SPA1 bg fraction,RC bg intensity,SPA1 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.001,0.004,-13000000.0,0.0,184.0,0.9999995202168053,1.1927149333027146e-7
0.0002,0.001,0.004,-12566666.666666666,0.0,184.0,0.9999992057610949,2.6011677801921996e-7
0.0002,0.001,0.004,-12133333.333333332,0.0,184.0,0.9999985594772164,4.627429509491614e-7
0.0002,0.001,0.004,-11700000.0,0.0,184.0,0.9999985852017498,3.671666159704026e-8
0.0002,0.001,0.004,-11266666.666666666,0.0,184.0,0.9999964258447422,7.347885233066235e-7
0.0002,0.001,0.004,-10833333.333333332,0.0,184.0,0.9999985013627538,6.550876337109679e-7
0.0002,0.001,0.004,-10400000.0,0.0,184.0,0.9999982395163555,7.86319212237892e-7
0.0002,0.001,0.004,-9966666.666666666,0.0,184.0,0.9999995260649033,4.1892047989375306e-8
0.0002,0.001,0.004,-9533333.333333334,0.0,184.0,0.9999973234293922,1.6333916177282525e-6
0.0002,0.001,0.004,-9100000.0,0.0,184.0,0.9999968915919845,9.942165630114587e-7
0.0002,0.001,0.004,-8666666.666666666,0.0,184.0,0.9999994163233893,9.589565060585911e-8
0.0002,0.001,0.004,-8233333.333333334,0.0,184.0,0.9999944688157834,2.9653631387996422e-6
0.0002,0.001,0.004,-7800000.0,0.0,184.0,0.9999979486524222,5.882966652493426e-7
0.0002,0.001,0.004,-7366666.666666666,0.0,184.0,0.9999947313669998,2.4421643940384853e-6
0.0002,0.001,0.004,-6933333.333333334,0.0,184.0,0.9999937703496408,3.036645049175433e-6
0.0002,0.001,0.004,-6500000.0,0.0,184.0,0.9999891423287659,2.6879221800799325e-6
0.0002,0.001,0.004,-6066666.666666666,0.0,184.0,0.9999653434364421,0.00001690628405285009
0.0002,0.001,0.004,-5633333.333333333,0.0,184.0,0.9995149331474557,0.000045447156622473204
0.0002,0.001,0.004,-5199999.999999999,0.0,184.0,0.9694323243357552,0.0017987397283312368
0.0002,0.001,0.004,-4766666.666666666,0.0,184.0,0.9425501175886903,0.004946208494057733
0.0002,0.001,0.004,-4333333.333333332,0.0,184.0,0.6522550066292262,0.1190585332193281
0.0002,0.001,0.004,-3900000.0000000005,0.0,184.0,0.8304207537323497,0.028524944782940553
0.0002,0.001,0.004,-3466666.666666667,0.0,184.0,0.5672482131123727,0.09108888012963745
0.0002,0.001,0.004,-3033333.333333333,0.0,184.0,0.1620795301375969,0.21363431507032035
0.0002,0.001,0.004,-2599999.9999999995,0.0,184.0,0.022323172228948925,0.30159431070669707
0.0002,0.001,0.004,-2166666.666666666,0.0,184.0,0.001112489725495811,0.273465163662314
0.0002,0.001,0.004,-1733333.3333333326,0.0,184.0,0.0029640212187195237,0.3007920563292024
0.0002,0.001,0.004,-1299999.9999999988,0.0,184.0,0.0018218963164302012,0.3284017153721669
0.0002,0.001,0.004,-866666.6666666671,0.0,184.0,0.0025304477095374985,0.31211374403532316
0.0002,0.001,0.004,-433333.33333333355,0.0,184.0,0.0021077931119945223,0.33886749841701624
0.0002,0.001,0.004,0.0,0.0,184.0,0.0030345810093043695,0.3048304859571729
0.0002,0.001,0.004,433333.33333333355,0.0,184.0,0.002228470664635859,0.2981340936034622
0.0002,0.001,0.004,866666.6666666671,0.0,184.0,0.0028828390916267096,0.28772351446646166
0.0002,0.001,0.004,1300000.0000000007,0.0,184.0,0.0038940817857899285,0.2889648925989651
0.0002,0.001,0.004,1733333.3333333342,0.0,184.0,0.0035769525791068154,0.29184451735207856
0.0002,0.001,0.004,2166666.666666668,0.0,184.0,0.02024241103871105,0.2882248280535407
0.0002,0.001,0.004,2600000.0000000014,0.0,184.0,0.0350719880175826,0.2828313353714509
0.0002,0.001,0.004,3033333.333333335,0.0,184.0,0.07093440672275486,0.270483076126801
0.0002,0.001,0.004,3466666.6666666684,0.0,184.0,0.13096213992164107,0.24903362371505236
0.0002,0.001,0.004,3900000.0000000023,0.0,184.0,0.22099092618646987,0.22962278341856954
0.0002,0.001,0.004,4333333.333333336,0.0,184.0,0.26771635276691785,0.21570470491267432
0.0002,0.001,0.004,4766666.666666666,0.0,184.0,0.40842118138806616,0.17446425698242127
0.0002,0.001,0.004,5199999.999999999,0.0,184.0,0.4866363490899364,0.1512867736796927
0.0002,0.001,0.004,5633333.333333333,0.0,184.0,0.7316270532171583,0.07913665706702373
0.0002,0.001,0.004,6066666.666666666,0.0,184.0,0.7273093884965892,0.08028203902684411
0.0002,0.001,0.004,6500000.0,0.0,184.0,0.8631365779743296,0.04029835289562566
0.0002,0.001,0.004,6933333.333333334,0.0,184.0,0.8582719168650453,0.04176598345296825
0.0002,0.001,0.004,7366666.666666667,0.0,184.0,0.9999974129794323,6.021411873959105e-7
0.0002,0.001,0.004,7800000.000000001,0.0,184.0,0.9999992353203998,1.4510207374798557e-7
0.0002,0.001,0.004,8233333.333333334,0.0,184.0,0.9999985942674652,2.1612181576146457e-7
