SPA1 power,SPA1 bg fraction,SPA2 power,SPA2 bg fraction,SPA1 detuning,SPA2 detuning,v_forward,prob ini,prob inter,prob fin
0.0002,0.01,5e-6,0.02,0.0,-2000000.0,184.0,0.028236577994416673,0.8978398046122232,0.00002914126356219393
0.0002,0.01,5e-6,0.02,0.0,-1800000.0,184.0,0.027497758141500434,0.8978387524743083,0.0007473584025719174
0.0002,0.01,5e-6,0.02,0.0,-1600000.0,184.0,0.027916564158864943,0.8978182800563949,0.0002938550350552277
0.0002,0.01,5e-6,0.02,0.0,-1400000.0,184.0,0.027672208031948295,0.8978643919481776,0.0006411391370229364
0.0002,0.01,5e-6,0.02,0.0,-1200000.0,184.0,0.027942476191177908,0.8905516397213247,0.00036664121688020066
0.0002,0.01,5e-6,0.02,0.0,-1000000.0,184.0,0.027842805317991055,0.8763129413120564,0.0005267412843188875
0.0002,0.01,5e-6,0.02,0.0,-799999.9999999998,184.0,0.028369348355577854,0.7716215222066549,0.0748858414144842
0.0002,0.01,5e-6,0.02,0.0,-599999.9999999999,184.0,0.028423924217760056,0.6244612718791693,0.18659446968990423
0.0002,0.01,5e-6,0.02,0.0,-399999.9999999999,184.0,0.02850195521622562,0.3923090381945603,0.37856019622243675
0.0002,0.01,5e-6,0.02,0.0,-199999.99999999994,184.0,0.028560153728182727,0.23558618949402718,0.5522094286887684
0.0002,0.01,5e-6,0.02,0.0,0.0,184.0,0.028609544610020854,0.14306709928224373,0.7437501264762598
0.0002,0.01,5e-6,0.02,0.0,200000.00000000017,184.0,0.028656583627521392,0.1726159279101428,0.7190334786540401
0.0002,0.01,5e-6,0.02,0.0,400000.00000000035,184.0,0.028490155093450365,0.8700215928297391,0.025831610441024427
0.0002,0.01,5e-6,0.02,0.0,600000.0000000001,184.0,0.028508165687641245,0.7526470643776961,0.11983367418036364
0.0002,0.01,5e-6,0.02,0.0,800000.0000000002,184.0,0.028406737544676895,0.8972802554732819,0.0004966102867984556
0.0002,0.01,5e-6,0.02,0.0,1000000.0,184.0,0.028378049287989527,0.8974343700844513,0.00031940898420287315
0.0002,0.01,5e-6,0.02,0.0,1200000.0000000002,184.0,0.028368052764080297,0.897580322988214,0.0001692022431494891
0.0002,0.01,5e-6,0.02,0.0,1400000.0000000005,184.0,0.02836265267256605,0.8975059385189125,0.00009838274461791463
0.0002,0.01,5e-6,0.02,0.0,1600000.0,184.0,0.028364999097115227,0.8975341383120555,0.0001785910700751716
0.0002,0.01,5e-6,0.02,0.0,1800000.0000000002,184.0,0.028365034416100495,0.8976205865706167,0.00028514637130653067
0.0002,0.01,5e-6,0.02,0.0,2000000.0,184.0,0.028365753395543886,0.8976492246827169,0.00016054461134465615
