stage,detuning_hz,intensity_prefactor,singlet,triplet_m,triplet_0,triplet_p
AP1,-4950000.0,0.14677992676220697,7.0989201860902625e-6,3.981107218371297e-7,2.5804330713691383e-6,3.980667007145373e-7
AP1,-4950000.0,0.28729848333536656,7.350232874724439e-6,2.4141039997444037e-7,2.2672060617325255e-6,2.4135832163064333e-7
AP1,-4950000.0,0.5623413251903491,7.137529692145347e-6,1.7224667165477705e-7,1.8310122352437724e-6,1.7222007490903938e-7
AP1,-4950000.0,1.1006941712522103,6.28382411539909e-6,3.761049953629806e-7,1.506686938059038e-6,3.761480791501101e-7
AP1,-4950000.0,2.1544346900318843,5.445964584605736e-6,1.068766188844976e-6,1.7177763907941635e-6,1.0688922999356976e-6
AP1,-4950000.0,4.216965034285822,6.342539207133681e-6,2.3750077060629163e-6,2.3976932781082173e-6,2.3751141303273873e-6
AP1,-4950000.0,8.25404185268019,9.823849539553245e-6,4.196599329385666e-6,2.3018055523308663e-6,4.196290783747282e-6
AP1,-4950000.0,16.155980984398745,0.000018771338077646838,3.3733369178321683e-6,3.3231567466947273e-6,3.372671959898759e-6
AP1,-4950000.0,31.622776601683793,0.000013953453207868864,8.895646584184579e-6,9.83932589965726e-7,8.895711093206987e-6
AP1,-4600000.0,0.01,2.381012362720468e-6,8.804851449918763e-7,4.4305513490335474e-7,8.801519524019078e-7
AP1,-4600000.0,0.019573417814876606,2.2462252941776146e-6,8.03780912405724e-7,4.613628034272657e-7,8.034507843225176e-7
AP1,-4600000.0,0.03831186849557289,2.0465206274010402e-6,7.191849930387666e-7,4.828262283483331e-7,7.188406691537441e-7
AP1,-4600000.0,0.07498942093324558,1.7558569779344384e-6,6.491484845202374e-7,5.042464779774622e-7,6.487618832137168e-7
AP1,-4600000.0,0.14677992676220697,1.352584720424329e-6,6.497320498949999e-7,5.17318193227238e-7,6.492670454476196e-7
AP1,-4600000.0,0.28729848333536656,8.485134840266812e-7,8.336166510563329e-7,5.063982710162075e-7,8.330740284007409e-7
